Sample 24,
Wavelength (nm),Intensity (a.u.)
500,0.341400743
501.019989,0.517666161
502.0499878,0.33310917
502.9400024,0.536875844
503.9700012,0.446874678
505,0.372542948
506.019989,0.636613488
507.0499878,0.499931276
507.9400024,0.36955148
508.9700012,0.583926797
510,0.162374154
511.0400085,0.676932395
511.9400024,0.475833982
512.9799805,0.486611843
514.0200195,0.372535884
515.0700073,0.507073641
515.9699707,0.850919008
517.0100098,0.219471514
518.0499878,0.495835602
518.9500122,0.327074885
520,0.607487261
521.0200195,0.604549229
522.0499878,0.307142645
522.9400024,0.501592577
523.9699707,0.196165294
525,0.391520798
526.0200195,0.508381903
527.0499878,0.569008052
527.9400024,0.708291411
528.9699707,0.662845314
530,0.326331854
531.0200195,0.541756153
532.0499878,0.890646279
532.9400024,0.664561153
533.9699707,0.57079041
535,0.52631247
536.0200195,1.004022479
537.0499878,1.02868402
537.9400024,0.968571782
538.9699707,0.960376501
540,0.70106566
541.0200195,0.667182803
542.0499878,0.79059881
542.9400024,0.076020092
543.9699707,0.713829994
545,0.606037676
546.0200195,0.580474615
547.0499878,0.671039939
547.9400024,0.181904867
548.9699707,0.318296969
550,0.175421014
551.0200195,1.116022468
552.0499878,0.346686006
552.9400024,0.429637402
553.9699707,0.680546463
555,0.872333646
556.0200195,0.843031406
557.0499878,0.250955194
557.9400024,0.570275486
558.9699707,1.009600639
560,0.963998139
561.0200195,0.94624573
562.0499878,0.817283332
562.9400024,0.96392262
563.9699707,1.580457926
565,1.413826346
566.0200195,1.717822433
567.0499878,2.238658905
567.9400024,2.106163263
568.9699707,3.065885067
570,5.940743923
571.0100098,7.688297272
572.0200195,11.34644413
573.039978,17.67705345
574.0499878,29.81770325
575.0700073,43.44471359
575.9400024,57.33594131
576.9500122,67.33449554
577.9699707,70.14128876
578.9799805,66.44620514
580,57.78650284
581.0100098,50.24250412
582.0200195,49.48231506
583.039978,53.21499252
584.0499878,64.36902618
585.0700073,71.92606354
585.9400024,79.64230347
586.9500122,86.90102386
587.9699707,93.57623291
588.9799805,97.41995239
590,103.3143539
591.0200195,104.1251068
592.0499878,103.4338913
592.9400024,96.50449371
593.9699707,94.55187988
595,90.43823242
596.0200195,87.54003143
597.0499878,83.86039734
597.9400024,81.09064484
598.9699707,74.67793274
600,66.48983002
601,62.42965698
602,57.19973373
603,59.21435165
604,66.09738159
605,84.90950012
606,118.1649399
607,164.8976135
608,237.1202087
609,304.4264221
610,380.5396118
611.0100098,451.9283752
612.0200195,504.0596008
613.039978,530.4295044
614.0499878,536.6187134
615.0700073,523.9475098
615.9400024,512.1130371
616.9500122,480.8375549
617.9699707,466.5922852
618.9799805,431.3460999
620,399.4784546
621.0100098,375.2857971
622.0200195,340.0976563
623.039978,313.2277222
624.0499878,280.3686829
625.0700073,244.5854645
625.9400024,219.5497437
626.9500122,186.8995667
627.9699707,156.9189148
628.9799805,125.8846207
630,97.69987488
631,73.23862457
632,57.77508163
633,42.98789978
634,31.29878616
635,23.85814095
636,21.33749008
637,17.61073303
638,16.27867317
639,14.42210674
640,14.20513725
641,12.86201954
642,13.04334354
643,13.48826122
644,14.3353281
645,15.46290493
646,16.73790169
647,17.82014465
648,20.56803322
649,23.41430855
650,23.85391235
651,25.73035431
652,28.91412544
653,27.75725365
654,26.65794754
655,27.90770912
656,26.0945549
657,22.77361488
658,20.44652748
659,15.28505993
660,13.94417286
661,10.24609566
662,8.900580406
663,7.435829639
664,6.106612206
665,5.814172745
666,4.237792015
667,4.122238636
668,4.153207302
669,3.502560616
670,3.573222637
670.9799805,3.373759985
671.9699707,4.181756973
672.9500122,3.155925274
673.9400024,4.204298973
675.0700073,3.691713572
676.0499878,3.906765938
677.039978,4.827629566
678.0200195,5.012358665
679.0100098,6.305729389
680,6.868747234
680.9799805,7.678867817
681.9699707,9.107456207
682.9500122,11.11370564
683.9400024,12.75574493
685.0700073,15.59657478
686.0499878,16.14762878
687.039978,18.106287
688.0200195,18.7498455
689.0100098,21.0308609
690,23.76909065
690.9799805,25.5350666
691.9699707,27.07097054
692.9500122,30.57859612
693.9400024,31.8227787
695.0700073,33.758564
696.0499878,35.53384781
697.039978,37.84695435
698.0200195,41.48316193
699.0100098,45.69823837
700,52.39415741
700.9799805,57.92153931
701.9699707,62.41576385
702.9500122,63.04868317
703.9400024,66.84381104
705.0700073,64.8603363
706.0499878,60.53271866
707.039978,53.41967392
708.0200195,41.82913208
709.0100098,31.04010963
710,22.06712151
710.9699707,15.6730938
711.9400024,10.06914711
713.0499878,6.801093102
714.0200195,5.157829762
715,3.681143761
715.9699707,2.691241264
716.9400024,1.980373383
718.0499878,2.315649509
719.0200195,1.92901957
720,1.69201529
720.9799805,2.122742176
721.9699707,1.129978895
722.9500122,1.174903631
723.9400024,1.188532591
725.0700073,0.992506623
726.0499878,0.829665303
727.039978,1.027762055
728.0200195,0.743531942
729.0100098,0.681543887
730,0.477599949
730.9500122,0.379214019
732.0499878,0.737407804
733.0100098,0.548837125
733.9699707,0.737895668
735.0599976,0.778874457
736.0200195,0.879290521
736.9799805,0.794991553
737.9400024,1.05900526
739.039978,1.019055724
740,1.214177132
740.9699707,1.361221552
741.9400024,0.933942497
743.0499878,1.464092374
744.0200195,1.417016745
745,1.603783727
745.9699707,1.782240391
746.9400024,1.682803988
748.0499878,1.865754247
749.0200195,1.911405087
750,1.392965555
750.9699707,0.974309623
751.9400024,1.536410451
753.0499878,1.121793866
754.0200195,1.552089691
755,1.198762298
755.9699707,0.49654308
756.9400024,1.293953657
758.0499878,0.922422409
759.0200195,0.879695356
760,0.771551669
760.9500122,0.978705347
762.0499878,0.847473443
763.0100098,0.653020203
763.9699707,0.763719022
765.0599976,0.459027141
766.0200195,0.887082517
766.9799805,0.653176069
767.9400024,0.239064381
769.039978,0.168525651
770,0.438209355
770.9500122,0.302385062
772.0499878,0.614312232
773.0100098,0
773.9699707,0.225628942
775.0599976,0.093966708
776.0200195,0.230821535
776.9799805,0
777.9400024,0.864533305
779.039978,0.331202388
780,0.093696125
780.9400024,0.258147389
782.0200195,0
782.9699707,0.213626891
784.0499878,0.724368393
785,0.430700868
785.9400024,0.300806552
787.0200195,0.170735881
787.9699707,0.213365465
789.0499878,0.793980837
790,0.295638412
790.9400024,0.830141723
792.0200195,0.392196566
792.9699707,0.942248285
794.0499878,1.09723103
795,0.963093996
795.9400024,0.547600329
797.0200195,1.257360578
797.9699707,0.727711499
799.0499878,1.464276075
800,0.926507473
800.9400024,1.61533761
802.0200195,1.297445655
802.9699707,1.403674364
804.0499878,1.327386379
805,1.112041354
805.9400024,1.500393987
807.0200195,1.328062654
807.9699707,1.2179811
809.0499878,1.26127255
810,1.201968431
810.9400024,1.321136236
812.0200195,1.455129385
812.9699707,1.496580601
814.0499878,0.790169537
815,1.238985896
815.9400024,0.594824374
817.0200195,0.752558708
817.9699707,1.236729026
819.0499878,0.83705008
820,0.887977302
821.0599976,0.866304576
822,0.895706177
823.0599976,0.693577468
824,0.910797954
825.0599976,0.653278649
826,0.819171131
827.0599976,0.525495887
828,0.455614984
829.0599976,0.741933048
830,0.515794635
831.0599976,0.295876622
832,0.280713141
833.0599976,0.377085745
834,0.42861104
835.0599976,0.331647992
836,0
837.0599976,0
838,0
839.0599976,0.409510732
840,0.224748567
841.0599976,0
842,0.334900439
843.0599976,0.245245993
844,0.694840014
845.0599976,0.256072342
846,0.262467206
847.0599976,0.074973293
848,0
849.0599976,0.099138737
850,0
851.0499878,0.02501501
851.9699707,0.376974404
853.0200195,0.371050537
853.9400024,0.29411763
855,0.025103079
856.0499878,0.094400182
856.9699707,0
858.0200195,0.306003302
858.9400024,0
860,0
861.0499878,0.239199817
861.9699707,0.419957399
863.0200195,0
863.9400024,0.138082534
865,0
866.0499878,0.105714165
866.9699707,0.037513364
868.0200195,0.209513158
868.9400024,0.087988891
870,0.131793648
871.0300293,0
871.9400024,0.199018583
872.9799805,0.031424209
874.0200195,0.156947434
875.0599976,0
875.9699707,0
877.0100098,0.163588896
878.0499878,0.099792302
878.960022,0.031365465
880,0.213936046
881.0300293,0
881.9400024,0.144293815
882.9799805,0.580185413
884.0200195,0
885.0599976,0.124861091
885.9699707,0
887.0100098,0.10649094
888.0499878,0
888.960022,0.025105286
890,0
891.0300293,0.088100739
891.9400024,0
892.9799805,0.224821553
894.0200195,0
895.0599976,0
895.9699707,0.165573448
897.0100098,0
898.0499878,0
898.960022,0.258045048
900,0.082250372
